Petróleos Mexicanos,Petróleo y gas,MX,http://www.pemex.com/Paginas/default.aspx,http://www.pemex.com/acerca/codigo-de-conducta/Paginas/default.aspx,1,1,1,1,1,0.5,0.5,0.5,0,0,0,1,1,1,0.5,1,"El conflicto de interés se presenta cuando por razones de parentesco, amistad, intereses patrimoniales, o cualquier otra, una persona favorece los intereses propios o de terceras personas sobre los del PEMEX. ",1,Tráfico de Influencias,0,0,1,"Existe un Comité de Ética que conoce y analiza las infracciones, verifica la ejecución de sanciones, promueve estrategias corporativas y establece mecanismos de medición sobre la ejecución de los principios del código de ética",1,0.5,1,codigodeconducta@pemex.com,1,01 800 522 6363,0.5,1,1,1,1,1,1
América Móvil,Telecomunicaciones,MX,http://www.americamovil.com/es/página-de-inicio,ND,1,1,0,0.5,1,0,0.5,0,0,1,0,1,0.5,0,0,1,"Los conflictos de intereses surgen principalmente cuando entran en juego los intereses de la empresa, los intereses personales de sus colaboradores y, frecuentemente, los intereses de terceros.",0,.,0,0,0,.,0.5,0.5,1,lineadedenuncia@americamovil.com,0,.,0.5,0,1,1,1,1,1
Walmart de México,Comercio Autoservicio,EU,http://www.walmartmexico.com/,NA,1,1,1,1,1,0,0.5,0.5,0.5,1,0,1,1,1,0.5,1,"Puede surgir un conflicto de interés cuando nuestro juicio pudiera ser influenciado, o pudiera parecer que está siendo influenciado, por la posibilidad de un beneficio persona",1,Tráfico de Influencias,0,0,1,Sistema de Ética Global ,1,0.5,1,walmartethics.com,1,001-888-280-0603 01-800-963-8422,0.5,1,1,1,1,1,0
Fomento Económico Mexicano (FEMSA),Holding,MX,http://www.femsa.com/es,http://www.femsa.com/es/conoce-femsa/gobierno-corporativo,1,1,1,1,1,0,0.5,0,0,0,1,1,1,1,0.5,0,.,0,.,0,0,1,En el código de ética indican que anualmente se firma  una carta de compromiso de cumplimiento con el código de ética de negocios. ,1,0.5,1,sel-denuncias@sel-denuncias.com,1,18005001271,0.5,0,1,1,1,1,1
Comisión Federal de Electricidad,Electricidad,MX,http://www.cfe.gob.mx/paginas/Home.aspx,NA,1,1,1,1,1,0,0.5,0.5,0,0,0,1,1,1,1,1,"esto significa cualquier situación en la que los intereses personales, familiares o de negocios puedan afectar su desempeño imparcial.",0,.,0,0,1,"IX. La Comisión de Ética Corporativa es el órgano competente para analizar y resolver las inquietudes sobre este Código de Conducta, así como para someterlo a revisiones periódicas al menos una vez cada tres años. X. La Comisión de Ética Corporativa está integrada por una Presidencia, una Secretaría Ejecutiva, un miembro Titular y uno Suplente por cada una de las áreas de la Empresa, así como representantes del área de Relaciones Laborales y Recursos Humanos, Oficina del Abogado General y del Sindicato Único de Trabajadores Electricistas de la República Mexicana. Se puede convocar a invitados ad hoc, como expertos en algunas temáticas. El Consejo de Administración de la Comisión Federal de Electrididad, designa al Presidente de la Comisión de Ética Corporativa, a propuesta del Director General. Asimismo, el Director General designa a la persona responsable de la Secretaría Ejecutiva.",1,0.5,0,.,0,.,0,1,1,1,1,1,0.5
General Motors de México,Armadora,EU,http://www.gm.com.mx/#&panel1-4,NA,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,0,0,.,0,0,0,.,0,.,0,0,1,1,1,1,0
Alfa,Holding,MX,http://www.alfa.com.mx,ND,1,1,0,1,1,0,0.5,0,0,0,0,1,1,1,0.5,0,.,1,Soborno,0,0,0,.,0.5,0.5,1,buzon@alfa.com.mx,1,01-800-265-2532,0.5,0,1,1,1,1,1
Fiat Chrysler de México,Armadora,EU,http://www.fcanorthamerica.com/sites/mex/Pages/Home.aspx,https://secure.ethicspoint.eu/domain/media/es/gui/102375/index.html,1,1,1,1,1,0,0.5,0,0.5,1,0,1,1,1,1,1,"Conflicts of interest may arise when members of the FCA Group’s workforce engage in activities or have interests that compromise the interests of our Company, because these activities or interests may compromise objective business decisionmaking or otherwise interfere with the performance of work-related duties.",1,"Soborno, Pago facilitador",0.5,0.5,1,Violations of the Code of Conduct are essentially determined through:  periodic activities carried out by Internal Audit of FCA Group reports received in accordance with the Whistleblowing Procedures checks forming part of the standard operating procedures.,1,0.5,1,https://secure.ethicspoint.eu/domain/media/en/gui/102375/report.html,1,001-855-422-0189,0.5,1,1,0.5,0.5,0,0
Grupo Bimbo,Alimentos,MX,http://www.grupobimbo.com/es/,http://www.grupobimbo.com/informe/politicas.html,1,1,1,1,1,0.5,0.5,0.5,0,1,1,0,0.5,0,1,1,"Cualquier interés financiero o no financiero, que pueda entrar en conflicto con su función dentro de la empresa.",1,"Soborno, Pago facilitador",0.5,0.5,1,"Para implementar, monitorear y ejecutar la Política Anticorrupción, la Empresa ha nombrado un Director de Cumplimiento Global y designado un Comité de Ética y Cumplimiento.",0.5,0.5,1,comenta@grupobimbo.com,1,01800 0124626,0.5,1,1,1,1,1,1
Cemex,Cemento y materiales,MX,http://www.cemexmexico.com,http://www.cemexmexico.com/sostenibilidad,1,1,1,1,1,0,0.5,0.5,0.5,1,1,0,1,0,0,1,"En codigo de conducta se define así: ""Existen conflictos de interés cuando intervienen o parecen intervenir intereses personales o de terceros en los intereses de CEMEX, incluyendo los de sus subsidiarias y afiliadas. Un conflicto de interés se da cuando alguna persona que labora en CEMEX busca beneficios personales o cuando un miembro de CEMEX o algún miembro de su familia recibe beneficios indebidos de la compañía""",0,.,0.5,0,1,Se indica que la administración del Código de Ética y Conducta CEMEX corresponde propiamente a las siguientes personas o entidades: • Comités de Ética de la unidad de negocio correspondiente • Comité de Ética CEMEX,0.5,0.5,1,CEMEX@tnwinc.com,1,001-888-847-5016,0.5,1,1,1,1,1,1
